Name,Manufacturer,Brand,Condition,Price,Warranty_type,Warranty_time,Architecture,Max_resolution,Base_clock,Boost_clock,Memory_clock,Memory_size,Memory_type,Bus_width,Bandwidth,Cores,Length,Width,Height,Bus_interface,TDP,OpenGL,DirectX
Card Màn Hình Asrock Intel Arc A380 Challenger Itx 6gb -Card Màn Hình Asrock ...,Asrock,Intel,Mới,4199000,Bảo hành hãng,36,Generation 12.7,7680x4320,2250,2450.0,1937,6.0,GDDR6,96,186.0,1024,190.0,124.0,39.0,PCIe 4.0 x8,75,4.6,12 Ultimate
VGA ASRock Intel Arc A380 Challenger ITX 6GB OC,Asrock,Intel,Mới,3990000,Bảo hành hãng,36,Generation 12.7,7680x4320,2250,2450.0,1937,6.0,GDDR6,96,186.0,1024,190.0,124.0,39.0,PCIe 4.0 x8,75,4.6,12 Ultimate
Card màn hình Intel Arc A750 8GB GDDR6 21P02J00BA,Intel,Intel,Mới,6390000,Bảo hành hãng,36,Generation 12.7,7680x4320,2050,2400.0,2000,8.0,GDDR6,256,512.0,3584,279.9,111.16,42.0,PCIe 4.0 x16,225,4.6,12 Ultimate
Card đồ họa Intel Arc A750 8GB GDDR6,Intel,Intel,Mới,6100000,Bảo hành hãng,36,Generation 12.7,7680x4320,2050,2400.0,2000,8.0,GDDR6,256,512.0,3584,279.9,111.16,42.0,PCIe 4.0 x16,225,4.6,12 Ultimate
VGA ASROCK Intel Arc A380 Challenger ITX 6GB OC ( A380 CLI 6GO ),Asrock,Intel,Mới,3788000,Bảo hành hãng,36,Generation 12.7,7680x4320,2250,2450.0,1937,6.0,GDDR6,96,186.0,1024,190.0,124.0,39.0,PCIe 4.0 x8,75,4.6,12 Ultimate
VGA Intel Arc A750 Dual Fan 8GB GDDR6 PCIe 4.0 hiệu năng ngang ngửa 3060 giá siêu ...,Intel,Intel,Mới,7500000,Bảo hành hãng,36,Generation 12.7,7680x4320,2050,2400.0,2000,8.0,GDDR6,256,512.0,3584,279.9,111.16,42.0,PCIe 4.0 x16,225,4.6,12 Ultimate
Card màn hình/ VGA ASRock Intel Arc A380 Challenger ITX 6GB 96-bit GDDR6,Asrock,Intel,Mới,3990000,Bảo hành hãng,36,Generation 12.7,7680x4320,2250,2450.0,1937,6.0,GDDR6,96,186.0,1024,190.0,124.0,39.0,PCIe 4.0 x8,75,4.6,12 Ultimate
VGA Intel Arc A750 8GB GDDR6,Intel,Intel,Mới,6190000,Bảo hành hãng,36,Generation 12.7,7680x4320,2050,2400.0,2000,8.0,GDDR6,256,512.0,3584,279.9,111.16,42.0,PCIe 4.0 x16,225,4.6,12 Ultimate
VGA Intel ARC A750 8GB GDDR6 Chính Hãng,Intel,Intel,Mới,6350000,Bảo hành hãng,36,Generation 12.7,7680x4320,2050,2400.0,2000,8.0,GDDR6,256,512.0,3584,279.9,111.16,42.0,PCIe 4.0 x16,225,4.6,12 Ultimate
VGA Intel ARC A750 Challenger 8GB DDR7,Intel,Intel,Mới,5900000,Bảo hành hãng,36,Generation 12.7,7680x4320,2050,2400.0,2000,8.0,GDDR6,256,512.0,3584,279.9,111.16,42.0,PCIe 4.0 x16,225,4.6,12 Ultimate
VGA Intel Arc A750 8GB GDDR6 21P02J00BA,Intel,Intel,Mới,6490000,Bảo hành hãng,36,Generation 12.7,7680x4320,2050,2400.0,2000,8.0,GDDR6,256,512.0,3584,279.9,111.16,42.0,PCIe 4.0 x16,225,4.6,12 Ultimate
MSI RTX 3050 VENTUS 2X XS OC,Msi,NVIDIA,Mới,5990000,Bảo hành hãng,36,Ampere,7680x4320,1552,1807.0,1750,8.0,GDDR6,128,224.0,2560,205.0,112.0,45.0,PCIe 4.0 x8,115,4.6,12 Ultimate
GIGABYTE RTX 3060 GAMING OC Rev. 2.0,Gigabyte,NVIDIA,Mới,7950000,Bảo hành hãng,36,Ampere,7680x4320,1320,1837.0,1875,12.0,GDDR6,192,360.0,3584,282.0,117.0,41.0,PCIe 4.0 x16,170,4.6,12 Ultimate
MSI RTX 3050 VENTUS 2X OC,Msi,NVIDIA,Mới,5999000,Bảo hành hãng,36,Ampere,7680x4320,1552,1807.0,1750,8.0,GDDR6,128,224.0,2560,205.0,112.0,45.0,PCIe 4.0 x8,130,4.6,12 Ultimate
GIGABYTE RTX 3050 EAGLE OC,Gigabyte,NVIDIA,Mới,6290000,Bảo hành hãng,36,Ampere,7680x4320,1552,1792.0,1750,8.0,GDDR6,128,224.0,2560,213.0,120.0,41.0,PCIe 4.0 x8,130,4.6,12 Ultimate
MSI GTX 1650 VENTUS XS OCV1 GDDR6,Msi,NVIDIA,Mới,3849000,Bảo hành hãng,36,Turing,7680x4320,1410,1620.0,1500,4.0,GDDR6,128,192.0,896,179.0,115.0,42.0,PCIe 3.0 x16,80,4.6,12
GIGABYTE RTX 3070 GAMING OC Rev. 2.0,Gigabyte,NVIDIA,Mới,16080000,Bảo hành hãng,36,Ampere,7680x4320,1500,1815.0,1750,8.0,GDDR6,256,448.0,5888,286.0,115.0,51.0,PCIe 4.0 x16,220,4.6,12 Ultimate
GIGABYTE RTX 3070 EAGLE OC,Gigabyte,NVIDIA,Mới,10600000,Bảo hành hãng,36,Ampere,7680x4320,1500,1770.0,1750,8.0,GDDR6,256,448.0,5888,282.0,115.0,41.0,PCIe 4.0 x16,220,4.6,12 Ultimate
GIGABYTE GTX 1650 OC GDDR6 Rev. 2.0,Gigabyte,NVIDIA,Mới,4290000,Bảo hành hãng,36,Turing,7680x4320,1410,1635.0,1500,4.0,GDDR6,128,192.0,896,172.0,122.0,40.0,PCIe 3.0 x16,80,4.6,12
MSI RTX 4070 Ti VENTUS 3X OC,Msi,NVIDIA,Mới,22250000,Bảo hành hãng,36,Ada Lovelace,7680x4320,2310,2640.0,1313,12.0,GDDR6X,192,504.2,7680,308.0,123.0,52.0,PCIe 4.0 x16,285,4.6,12 Ultimate
ASUS TUF RTX 3060 V2 GAMING OC,Asus,NVIDIA,Mới,9290000,Bảo hành hãng,36,Ampere,7680x4320,1320,1777.0,1875,12.0,GDDR6,192,360.0,3584,301.0,143.0,54.0,PCIe 4.0 x16,170,4.6,12 Ultimate
GIGABYTE RTX 3050 GAMING OC,Gigabyte,NVIDIA,Mới,5707000,Bảo hành hãng,36,Ampere,7680x4320,1552,1822.0,1750,8.0,GDDR6,128,224.0,2560,282.0,117.0,41.0,PCIe 4.0 x8,130,4.6,12 Ultimate
GIGABYTE GT 1030 Low Profile DDR4,Gigabyte,NVIDIA,Mới,2190000,Bảo hành hãng,36,Pascal,4096x2160,1152,1379.0,1050,2.0,DDR4,64,16.8,384,150.0,69.0,15.0,PCIe 3.0 x4,20,4.6,12
ASUS DUAL RTX 3060 V2 OC,Asus,NVIDIA,Mới,7790000,Bảo hành hãng,36,Ampere,7680x4320,1320,1837.0,1875,12.0,GDDR6,192,360.0,3584,200.0,123.0,38.0,PCIe 4.0 x16,170,4.6,12 Ultimate
GIGABYTE GTX 1660 SUPER,Gigabyte,NVIDIA,Mới,5090000,Bảo hành hãng,36,Turing,7680x4320,1530,1785.0,1750,6.0,GDDR6,192,336.0,1408,226.0,122.0,41.0,PCIe 3.0 x16,125,4.6,12
GIGABYTE GT 1030 OC,Gigabyte,NVIDIA,Mới,2350000,Bảo hành hãng,36,Pascal,4096x2160,1266,1518.0,1502,2.0,GDDR5,64,48.06,384,168.0,118.18504424778762,43.78857142857143,PCIe 3.0 x4,30,4.6,12
GIGABYTE GT 1030 Low Profile DDR4,Gigabyte,NVIDIA,Mới,2050000,Bảo hành hãng,36,Pascal,4096x2160,1152,1379.0,1050,2.0,DDR4,64,16.8,384,150.0,69.0,15.0,PCIe 3.0 x4,20,4.6,12
GIGABYTE RTX 3060 VISION OC Rev. 2.0,Gigabyte,NVIDIA,Mới,8190000,Bảo hành hãng,36,Ampere,7680x4320,1320,1837.0,1875,12.0,GDDR6,192,360.0,3584,280.0,116.0,41.0,PCIe 4.0 x16,170,4.6,12 Ultimate
